HCPC,SEQNUM,RECID,"LONG DESCRIPTION","SHORT DESCRIPTION",PRICE1,PRICE2,PRICE3,PRICE4,MULT_PI,CIM1,CIM2,CIM3,MCM1,MCM2,MCM3,STATUTE,LABCERT1,LABCERT2,LABCERT3,LABCERT4,LABCERT5,LABCERT6,LABCERT7,LABCERT8,XREF1,XREF2,XREF3,XREF4,XREF5,COV,ASC_GRP,ASC_DT,OPPS,OPPS_PI,OPPS_DT,PROCNOTE,BETOS,TOS1,TOS2,TOS3,TOS4,TOS5,ANEST_BU,"ADD DT","ACT EFF DT","TERM DT","ACTION CD"
G9500,0010,3,"Radiation exposure indices documented in final report for procedure using fluoroscopy","Rad expos ind/exp tm doc",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20230101,,C
G9501,0010,3,"Radiation exposure indices not documented in final report for procedure using fluoroscopy, reason not given","Rad expos ind/exp tm no doc",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20230101,,C
G9502,0010,3,"Documentation of medical reason for not performing foot exam (i.e., patients who have had either a bilateral amputation above or below the knee, or both a left and right amputation above or below the knee before or during the measurement period)","Med reas no perf foot exam",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9503,0010,3,"Patient taking tamsulosin hydrochloride","Pt tk tams hcl",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20210101,20201231,N
G9504,0010,3,"Documented reason for not assessing hepatitis b virus (hbv) status (e.g., patient not initiating anti-tnf therapy, patient declined) prior to initiating anti-tnf therapy","Doc rsn hep b stat not asses",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20180101,,N
G9505,0010,3,"Antibiotic regimen prescribed within 10 days after onset of symptoms for documented medical reason","Abx pres w/in 10 dys of symp",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9506,0010,3,"Biologic immune response modifier prescribed","Bio imm resp mod presc",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20230101,20221231,D
G9507,0010,3,"Documentation that the patient is on a statin medication or has documentation of a valid contraindication or exception to statin medications; contraindications/exceptions that can be defined by diagnosis codes include pregnancy during the measurement period, active liver disease, rhabdomyolysis, end stage renal disease on dialysis and heart failure; provider documented contraindications/exceptions include breastfeeding during the measurement period, woman of child-bearing age not actively taking birth control, allergy to statin, drug interaction (hiv protease inhibitors, nefazodone, cyclosporine, gemfibrozil, and danazol) and intolerance (with supporting documentation of trying a statin at least once within the last 5 years or diagnosis codes for myostitis or toxic myopathy related to drugs)","Doc reas on statin or contra",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9508,0010,3,"Documentation that the patient is not on a statin medication","Doc pt not on statin",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9509,0010,3,"Adult patients 18 years of age or older with major depression or dysthymia who reached remission at twelve months as demonstrated by a twelve month (+/-60 days) phq-9 or phq-9m score of less than 5","Adit mdd dys rem 12 mnths",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20190101,,N
G9510,0010,3,"Adult patients 18 years of age or older with major depression or dysthymia who did not reach remission at twelve months as demonstrated by a twelve  month (+/-60 days) phq-9 or phq-9m score of less than 5. either phq- 9 or phq-9m score was not assessed or is greater than or equal to 5","Remis12m not phq-9 score <5",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20200101,,N
G9511,0010,3,"Index event date phq-9 or phq-9m score greater than 9 documented during the twelve month denominator identification period","Idx evt dte phq>9 doc 12 mo",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20190101,,N
G9512,0010,3,"Individual had a pdc of 0.8 or greater","Indiv pdc > 0.8",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9513,0010,3,"Individual did not have a pdc of 0.8 or greater","Indiv pdc not > 0.8",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9514,0010,3,"Patient required a return to the operating room within 90 days of surgery","Req ret or w/in 90d of surg",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9515,0010,3,"Patient did not require a return to the operating room within 90 days of surgery","No reas, no ret or w/in 90d",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9516,0010,3,"Patient achieved an improvement in visual acuity, from their preoperative level, within 90 days of surgery","Impr vis acuit w/in 90d",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9517,0010,3,"Patient did not achieve an improvement in visual acuity, from their preoperative level, within 90 days of surgery, reason not given","No impr vis acuit w/in 90d",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9518,0010,3,"Documentation of active injection drug use","Doc active inj drug use",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9519,0010,3,"Patient achieves final refraction (spherical equivalent) +/- 1.0 diopters of their planned refraction within 90 days of surgery","Final ref +/- 1.0 w/in 90d",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20200101,,N
G9520,0010,3,"Patient does not achieve final refraction (spherical equivalent) +/- 1.0 diopters of their planned refraction within 90 days of surgery","Refract not +/- 1.0 w/in 90d",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20200101,,N
G9521,0010,3,"Total number of emergency department visits and inpatient hospitalizations less than two in the past 12 months","Er and ip hosp <2 in 12 mos",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9522,0010,3,"Total number of emergency department visits and inpatient hospitalizations equal to or greater than two in the past 12 months or patient not screened, reason not given","Er/ip hosp =/>2 in 12 mos",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9523,0010,3,"Patient discontinued from hemodialysis or peritoneal dialysis","D/c hemo or perit dialysis",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20210101,20201231,N
G9524,0010,3,"Patient was referred to hospice care","Refer to hospice",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20210101,20201231,N
G9525,0010,3,"Documentation of patient reason(s) for not referring to hospice care (e.g., patient declined, other patient reasons)","Doc pt reas no hospice refer",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20210101,20201231,N
G9526,0010,3,"Patient was not referred to hospice care, reason not given","No reason, no refer hospice",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20210101,20201231,N
G9529,0010,3,"Patient with minor blunt head trauma had an appropriate indication(s) for a head ct","Minor blunt trauma w/head ct",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9530,0010,3,"Patient presented with a minor blunt head trauma  and had a head ct ordered for trauma by an emergency care provider","Pt mbht hd ct ord ec prov",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20190101,,N
G9531,0010,3,"Patient has documentation of ventricular shunt, brain tumor, multisystem trauma, or is currently taking an antiplatelet medication including: abciximab, anagrelide, cangrelor, cilostazol, clopidogrel, dipyridamole, eptifibatide, prasugrel, ticlopidine, ticagrelor, tirofiban, or vorapaxar","Pt doc",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20200101,,N
G9532,0010,3,"Patient had a head ct for trauma ordered by someone other than an emergency care provider  or was ordered for a reason other than trauma","Pt hd ct ord",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20210101,20201231,N
G9533,0010,3,"Patient with minor blunt head trauma did not have an appropriate indication(s) for a head ct","Indic for head ct not valid",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9534,0010,3,"Advanced brain imaging (cta, ct, mra or mri) was not ordered","Adv brain image not ordered",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20190101,20181231,N
G9535,0010,3,"Patients with a normal neurological examination","Normal neuro exam",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20190101,20181231,N
G9536,0010,3,"Documentation of medical reason(s) for ordering an advanced brain imaging study (i.e., patient has an abnormal neurological examination; patient has the coexistence of seizures, or both; recent onset of severe headache; change in the type of headache; signs of increased intracranial pressure (e.g., papilledema, absent venous pulsations on funduscopic examination, altered mental status, focal neurologic deficits, signs of meningeal irritation); hiv-positive patients with a new type of headache; immunocompromised patient with unexplained headache symptoms; patient on coagulopathy/anti-coagulation or anti-platelet therapy; very young patients with unexplained headache symptoms)","Doc med reas adv brain image",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20190101,20181231,N
G9537,0010,3,"Imaging needed as part of a clinical trial; or other clinician ordered the study","Img hd clin trial",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20210101,,N
G9538,0010,3,"Advanced brain imaging (cta, ct, mra or mri) was ordered","Adv brain image ordered",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20190101,20181231,N
G9539,0010,3,"Intent for potential removal at time of placement","Intent pot remv time placemt",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9540,0010,3,"Patient alive 3 months post procedure","Pt alive 3 mos post proc",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9541,0010,3,"Filter removed within 3 months of placement","Filter rem 3 mon plmt",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20180101,,N
G9542,0010,3,"Documented re-assessment for the appropriateness of filter removal within 3 months of placement","Doc reass appr remo filt 3ms",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9543,0010,3,"Documentation of at least two attempts to reach the patient to arrange a clinical re-assessment for the appropriateness of filter removal within 3 months of placement","Doc 2x re-assess filt remov",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9544,0010,3,"Patients that do not have the filter removed, documented re-assessment for the appropriateness of filter removal, or documentation of at least two attempts to reach the patient to arrange a clinical re-assessment for the appropriateness of filter removal within 3 months of placement","No filt remov w/in 3mos plcm",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9547,0010,3,"Cystic renal lesion that is simple appearing (bosniak i or ii) , or adrenal lesion  less than or equal to 1.0 cm or adrenal lesion greater than 1.0 cm but less than or equal to 4.0 cm classified as likely benign by unenhanced ct or washout protocol ct, or mri with in- and opposed-phase sequences or other equivalent institutional imaging protocols","Cys ren les or adren",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20200101,,N
G9548,0010,3,"Final reports for imaging studies stating no  follow-up imaging is recommended","No f/u rec image study",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20200101,,N
G9549,0010,3,"Documentation of medical reason(s) that follow-up imaging is indicated (e.g., patient has lymphadenopathy, signs of metastasis or an active diagnosis or history of cancer, and other medical reason(s))","Doc med rsn for f/u imag",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20200101,,N
G9550,0010,3,"Final reports for imaging studies with follow-up imaging recommended, or final reports that do not include a specific recommendation of no follow-up","Imag rec",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20210101,,N
G9551,0010,3,"Final reports for imaging studies without an incidentally found lesion noted","Imag no les",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20200101,,N
G9552,0010,3,"Incidental thyroid nodule < 1.0 cm noted in report","Inc thyr node <1.0 in rpt",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9553,0010,3,"Prior thyroid disease diagnosis","Prior thyroid dise dx",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9554,0010,3,"Final reports for ct, cta, mri or mra of the chest or neck with follow-up imaging recommended","Ct/cta/mri/a chst foll rec",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20220101,,N
G9555,0010,3,"Documentation of medical reason(s) for recommending follow up imaging (e.g., patient has multiple endocrine neoplasia, patient has cervical lymphadenopathy, other medical reason(s))","Doc med rsn for follup image",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20170101,,N
G9556,0010,3,"Final reports for ct, cta, mri or mra of the chest or neck with follow-up imaging not recommended","Ct/cta/mri/a no follup imag",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20220101,,N
G9557,0010,3,"Final reports for ct, cta, mri or mra studies of the chest or neck without an incidentally found thyroid nodule < 1.0 cm noted or no nodule found","Ct/cta/mri/a no thyr <1.0cm",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20220101,,N
G9558,0010,3,"Patient treated with a beta-lactam antibiotic as definitive therapy","Tx beta-lactam abx therapy",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20210101,20201231,N
G9559,0010,3,"Documentation of medical reason(s) for not prescribing a beta-lactam antibiotic (e.g., allergy, intolerance to beta-lactam antibiotics)","Doc med reas no abx therapy",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20210101,20201231,N
G9560,0010,3,"Patient not treated with a beta-lactam antibiotic as definitive therapy, reason not given","No beta-lactam abx ther, rng",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20210101,20201231,N
G9561,0010,3,"Patients prescribed opiates for longer than six weeks","Presc opiates >6 wks",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20220101,20211231,N
G9562,0010,3,"Patients who had a follow-up evaluation conducted at least every three months during opioid therapy","Foll-up eval q3mo opiod tx",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20220101,20211231,N
G9563,0010,3,"Patients who did not have a follow-up evaluation conducted at least every three months during opioid therapy","No f/u eval q3mo opiod tx",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20220101,20211231,N
G9572,0010,3,"Index date phq-score greater than 9 documented during the twelve month denominator identification period","Phq-scr >9 doc in 12m time",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20170101,20161231,N
G9573,0010,3,"Adult patients 18 years of age or older with major depression or dysthymia who did not reach remission at six months as demonstrated by a six month (+/-60 days) phq-9 or phq-9m score of less than five","Adl pt md or dys rem 6 mon",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20210101,20201231,N
G9574,0010,3,"Adult patients 18 years of age or older with major depression or dysthymia who did not reach remission at six months as demonstrated by a six month (+/-60 days) phq-9 or phq-9m score of less than five; either phq-9 or phq-9m score was not assessed or is greater than or equal to five","Adl pt md dys no rem 6 mon",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20210101,20201231,N
G9577,0010,3,"Patients prescribed opiates for longer than six weeks","Presc opiates >6 wks",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20220101,20211231,N
G9578,0010,3,"Documentation of signed opioid treatment agreement at least once during opioid therapy","Doc opioid tx 1x during ther",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20220101,20211231,N
G9579,0010,3,"No documentation of signed an opioid treatment agreement at least once during opioid therapy","No doc opioid tx 1x at ther",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20220101,20211231,N
G9580,0010,3,"Door to puncture time of 90 minutes or less","Door to punc time <2hrs",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20220101,,N
G9581,0010,3,"Door to puncture time of greater than 2 hours for reasons documented by clinician (e.g., patients who are transferred from one institution to another with a known diagnosis of cva for endovascular stroke treatment; hospitalized patients with newly diagnosed cva considered for endovascular stroke treatment)","Md doc, door to punc tm >2hr",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20170101,20161231,N
G9582,0010,3,"Door to puncture time of greater than 90 minutes, no reason given","Door to punc time >2hr, nrg",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20220101,,N
G9583,0010,3,"Patients prescribed opiates for longer than six weeks","Presc opiates >6 wks",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20220101,20211231,N
G9584,0010,3,"Patient evaluated for risk of misuse of opiates by using a brief validated instrument (e.g., opioid risk tool, soapp-r) or patient interviewed at least once during opioid therapy","Eval opioid use instr/pt int",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20220101,20211231,N
G9585,0010,3,"Patient not evaluated for risk of misuse of opiates by using a brief validated instrument (e.g., opioid risk tool, soapp-r) or patient not interviewed at least once during opioid therapy","No eval opi use instr/intv",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20220101,20211231,N
G9593,0010,3,"Pediatric patient with minor blunt head trauma classified as low risk according to the pecarn prediction rules","Low pecarn ped head trauma",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9594,0010,3,"Patient presented with a minor blunt head trauma and had a head ct ordered for trauma by an emergency care provider","Pt mbht hd ct ord ec prov",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20190101,,N
G9595,0010,3,"Patient has documentation of ventricular shunt, brain tumor, or coagulopathy","Doc shnt/tum/coag",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20200101,,N
G9596,0010,3,"Pediatric patient had a head ct for trauma ordered by someone other than an emergency care provider or was ordered for a reason other than trauma","Ped pt hd ct ord",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20190101,,N
G9597,0010,3,"Pediatric patient with minor blunt head trauma not classified as low risk according to the pecarn prediction rules","No low pecarn ped head traum",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9598,0010,3,"Aortic aneurysm 5.5 - 5.9 cm maximum diameter on centerline formatted ct or minor diameter on axial formatted ct","Aor ane 5.5-5.9 cm max diam",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9599,0010,3,"Aortic aneurysm 6.0 cm or greater maximum diameter on centerline formatted ct or minor diameter on axial formatted ct","Aor ane >=6.0 cm max diam",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9600,0010,3,"Symptomatic aaas that required urgent/emergent (non-elective) repair","Symp aaa urgent repair",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20210101,20201231,N
G9601,0010,3,"Patient discharge to home no later than post-operative day #7","Pt dchg home post op day 7",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20210101,20201231,N
G9602,0010,3,"Patient not discharged to home by post-operative day #7","Pt no dchg home postop day 7",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20210101,20201231,N
G9603,0010,3,"Patient survey score improved from baseline following treatment","Pt surv improv bsline tx",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9604,0010,3,"Patient survey results not available","Pt surv results not avail",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9605,0010,3,"Patient survey score did not improve from baseline following treatment","Surv score no improv w/tx",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9606,0010,3,"Intraoperative cystoscopy performed to evaluate for lower tract injury","Intraop cyst eval trac inj",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9607,0010,3,"Documented medical reasons for not performing intraoperative cystoscopy (e.g., urethral pathology precluding cystoscopy, any patient who has a congenital or acquired absence of the urethra) or in the case of patient death","Doc med rsn not perf cystosc",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20180101,,N
G9608,0010,3,"Intraoperative cystoscopy not performed to evaluate for lower tract injury","Intraop cyst eval not done",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9609,0010,3,"Documentation of an order for anti-platelet agents","Doc order anti-plat",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20170101,,N
G9610,0010,3,"Documentation of medical reason(s) in the patient's record for not ordering anti-platelet agents","Doc md rsn no antipla",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20170101,,N
G9611,0010,3,"Order for anti-platelet agents was not documented in the patient's record, reason not given","No doc order anti-plat rng",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20170101,,N
G9612,0010,3,"Photodocumentation of two or more cecal landmarks to establish a complete examination","Phodoc 2 mr cec lndmk",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20190101,,N
G9613,0010,3,"Documentation of post-surgical anatomy (e.g., right hemicolectomy, ileocecal resection, etc.)","Doc post surg anatomy",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9614,0010,3,"Photodocumentation of less than two cecal landmarks (i.e., no cecal landmarks or only one cecal landmark) to establish a complete examination","Photodoc < 2 cec lndmk",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20190101,,N
G9615,0010,3,"Preoperative assessment documented","Pre-op asst doc",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20210101,20201231,N
G9616,0010,3,"Documentation of reason(s) for not documenting a preoperative assessment (e.g., patient with a gynecologic or other pelvic malignancy noted at the time of surgery)","Doc rsn no preop assmt",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20210101,20201231,N
G9617,0010,3,"Preoperative assessment not documented, reason not given","Pre-op asst not doc, rng",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20210101,20201231,N
G9618,0010,3,"Documentation of screening for uterine malignancy or those that had an ultrasound and/or endometrial sampling of any kind","Doc scr uter mal or us/samp",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20230101,20221231,D
G9619,0010,3,"Documentation of reason(s) for not screening for uterine malignancy (e.g., prior hysterectomy)","Doc rsn no scr uter malig",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20170101,20161231,N
G9620,0010,3,"Patient not screened for uterine malignancy, or those that have not had an ultrasound and/or endometrial sampling of any kind, reason not given","No scr utr malig/us/samp rng",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20230101,20221231,D
G9621,0010,3,"Patient identified as an unhealthy alcohol user when screened for unhealthy alcohol use using a systematic screening method and received brief counseling","Scr unheal etoh w/counsel",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9622,0010,3,"Patient not identified as an unhealthy alcohol user when screened for unhealthy alcohol use using a systematic screening method","No unheal etoh user",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20160101,,N
G9623,0010,3,"Documentation of medical reason(s) for not screening for unhealthy alcohol use (e.g., limited life expectancy, other medical reasons)","Doc med rsn no scr etoh use",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20230101,20221231,D
G9624,0010,3,"Patient not screened for unhealthy alcohol use using a systematic screening method or patient did not receive brief counseling if identified as an unhealthy alcohol user","Pt not scrn or no counseling",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20230101,,C
G9625,0010,3,"Patient sustained bladder injury at the time of surgery or discovered subsequently up to 30 days post-surgery","Pt bl srg 30 day pst srg",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20190101,,N
G9626,0010,3,"Documented medical reason for not reporting bladder injury (e.g., gynecologic or other pelvic malignancy documented, concurrent surgery involving bladder pathology, injury that occurs during a urinary incontinence procedure, patient death from non-medical causes not related to surgery, patient died during procedure without evidence of bladder injury)","Med rsn no rpt bladder inj",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20230101,,C
G9627,0010,3,"Patient did not sustain bladder injury at the time of surgery nor discovered  subsequently up to 30 days post-surgery","Pt no bl srg 30 day pst srg",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,1,,,,,"  0",20160101,20220101,,N
